329#2015-01-14 12:57:47#329#2015-01-14 12:57:47#2051594#0.123500019075714#0106000020E6100000010000000103000000010000000700000076DB2A2DA8D56040DE9C4295B706464092FE456D0ED660400F1945C5EE06464027B438A574D660400A323CD525074640D90CCBFA88D66040D564BE6A02064640F778BEF222D660408035BD7ACB0546407612D752BCD56040A8CFC42A9405464076DB2A2DA8D56040DE9C4295B7064640#0101000020E610000093AF7D8918D66040E26C57005D064640#Дальневосточный#Приморский край#Ольгинский#лесной#2015-01-15#f
329#2015-01-14 12:57:47#329#2015-01-14 17:07:36#2051594#0.123500019075714#0106000020E6100000010000000103000000010000000700000076DB2A2DA8D56040DE9C4295B706464092FE456D0ED660400F1945C5EE06464027B438A574D660400A323CD525074640D90CCBFA88D66040D564BE6A02064640F778BEF222D660408035BD7ACB0546407612D752BCD56040A8CFC42A9405464076DB2A2DA8D56040DE9C4295B7064640#0101000020E610000093AF7D8918D66040E26C57005D064640#Дальневосточный#Приморский край#Ольгинский#лесной#2015-01-15#f
330#2015-01-14 12:57:47#330#2015-01-14 12:57:47#1014914#\N#0106000020E61000000100000001030000000100000005000000EB4E1CE5E5D760407B462AA54A0A4640B62152154BD86040A6553E15810A4640EDB62CDB5ED860400629FC425D0946401DC8FEA2F9D76040DA19E8D226094640EB4E1CE5E5D760407B462AA54A0A4640#0101000020E6100000811B655E22D8604090AE4AF2D3094640#Дальневосточный#Приморский край#Ольгинский#лесной#2015-01-15#f
332#2015-01-14 14:40:06#332#2015-01-14 14:40:06#1018302#0.0006#0106000020E6100000010000000103000000010000000500000057A53EDAC9C559409FD1B1DE832F4C408C57516ACCC659404124C7C6D12F4C40ED96AAD513C75940D3964239B42E4C4054A1CBE510C65940250C3D41662E4C4057A53EDAC9C559409FD1B1DE832F4C40#0101000020E61000008BC90AC36EC65940A405BBFF1B2F4C40#Сибирский#Иркутская обл.#Нижнеилимский#лесной#2015-01-15#f
333#2015-01-14 14:40:06#321#2015-01-14 14:40:06#1034794#0.0061#0106000020E610000001000000010300000001000000050000007BED808860DC594081A5040EB2294B4017DDB4F858DD59401EDC21EEFF294B403D0FEECE9ADD59402273C009E0284B404814DE0EA2DC59406ECCC20992284B407BED808860DC594081A5040EB2294B40#0101000020E6100000C3401599FDDC59407F30ECFB48294B40#Сибирский#Иркутская обл.#Усть-Удинский#лесной#2015-01-15#f
334#2015-01-14 14:40:06#334#2015-01-14 14:40:06#1081895#\N#0106000020E610000001000000010300000001000000050000004EA1EBA9F2A359400B6B3A6D53054B4014DE0EA2EFA4594045AF50B5A7054B40538BF3FD35A5594075259FAA84044B401CD3139638A45940704FC21230044B404EA1EBA9F2A359400B6B3A6D53054B40#0101000020E6100000E5EFF23794A459404B9769EBEB044B40#Сибирский#Иркутская обл.#Балаганский#нелесной#2015-01-15#f
335#2015-01-14 14:40:06#335#2015-01-14 14:40:06#1131535#0.1157#0106000020E6100000010000000103000000010000000500000027C0D10AA3805940E429924C5AFE4A40D443B8F2A78159409EE6898CB3FE4A40D80F6FA5F08159406AC2725B8DFD4A4069E04735EC805940B0057B1B34FD4A4027C0D10AA3805940E429924C5AFE4A40#0101000020E6100000720DB3F049815940A6696FDDF3FD4A40#Сибирский#Иркутская обл.#Зиминский#лесной#2015-01-15#f
336#2015-01-14 14:40:06#189#2015-01-14 14:40:06#1128386#\N#0106000020E610000001000000010300000001000000050000003F88C7F26C835940EF4D99BC7DF44A406748B29A7084594057BF886CD6F44A40D15735ADB9845940CFA05F63B0F34A402FAE2B45B6835940CD7D6AA357F34A403F88C7F26C835940EF4D99BC7DF44A40#0101000020E6100000B1B5195C13845940D8A8501017F44A40#Сибирский#Иркутская обл.#Зиминский#нелесной#2015-01-15#f
336#2015-01-14 14:40:06#189#2015-01-15 05:58:00#1128386#\N#0106000020E610000001000000010300000001000000050000003F88C7F26C835940EF4D99BC7DF44A406748B29A7084594057BF886CD6F44A40D15735ADB9845940CFA05F63B0F34A402FAE2B45B6835940CD7D6AA357F34A403F88C7F26C835940EF4D99BC7DF44A40#0101000020E6100000B1B5195C13845940D8A8501017F44A40#Сибирский#Иркутская обл.#Зиминский#нелесной#2015-01-15#f
337#2015-01-14 14:40:06#83#2015-01-14 14:40:06#1042105#0.0898#0106000020E610000001000000010300000001000000050000000C68339810005A40DEAFE16D4E584A40F194401001015A40FE1EE5F59A584A40924ED14F40015A406E9D24027A574A400738CEB74F005A40B37C1B6A2D574A400C68339810005A40DEAFE16D4E584A40#0101000020E61000001A975D6CA8005A40C7009130E4574A40#Сибирский#Иркутская обл.#Иркутский#лесной#2015-01-15#f
338#2015-01-14 14:40:06#338#2015-01-14 14:40:06#1240752#0.0021#0106000020E610000001000000010300000001000000050000002B2536E52B735B40C39AEBB099B349407773861C3A745B406E15C440D7B349407918FFE369745B409BD16607A2B24940853752535E735B4061C71C5765B249402B2536E52B735B40C39AEBB099B34940#0101000020E6100000CD5DA088CB735B40A5761D571EB34940#Сибирский#Забайкальский край#Хилокский#нелесной#2015-01-15#f
338#2015-01-14 14:40:06#338#2015-01-14 18:44:40#1240752#0.0021#0106000020E610000001000000010300000001000000050000002B2536E52B735B40C39AEBB099B349407773861C3A745B406E15C440D7B349407918FFE369745B409BD16607A2B24940853752535E735B4061C71C5765B249402B2536E52B735B40C39AEBB099B34940#0101000020E6100000CD5DA088CB735B40A5761D571EB34940#Сибирский#Забайкальский край#Хилокский#нелесной#2015-01-15#f
339#2015-01-14 16:18:02#270#2015-01-14 16:18:02#9196879#0.005#0106000020E61000000100000001030000000100000007000000A67224E14C1F5040899DA53BBA004C40BF739C99E8215040BBB82ADC34024C402081FDDFAA2250408C06F88790004C40705B9D94702350409224C63AEEFE4B4097172674D3205040978FC5B270FD4B40C9E5FD870D20504067F3F6EF13FF4B40A67224E14C1F5040899DA53BBA004C40#0101000020E6100000E952B4475D215040F7518997D2FF4B40#Уральский#Курганская обл.#Каргапольский#нелесной#2015-01-15#f
340#2015-01-14 18:44:40#338#2015-01-14 18:44:40#1051055#\N#0106000020E610000001000000010300000001000000050000005F7CF22C58735B40EB4E3DF3EEB249405A673A438A735B4001F2A98C14B449409F264C7B77745B4087B5A5CCD5B34940CDF49E0C46745B4059A25813B0B249405F7CF22C58735B40EB4E3DF3EEB24940#0101000020E6100000C08954FAE7735B408DBD204762B34940#Сибирский#Забайкальский край#Хилокский#нелесной#2015-01-15#f
341#2015-01-14 17:07:36#329#2015-01-14 17:07:36#1044309#\N#0106000020E610000001000000010300000001000000050000009C6C248509D660408F5A387B2D0646402C0DDB9A1DD66040A608D3A4520746407E7DA5DA84D6604015BCF09C100746402356560570D660406F8912E3EB0546409C6C248509D660408F5A387B2D064640#0101000020E6100000A350760347D6604031141D559F064640#Дальневосточный#Приморский край#Ольгинский#лесной#2015-01-15#f
343#2015-01-15 02:32:47#343#2015-01-15 02:32:47#2027317#0.0378923503075853#0106000020E6100000010000000103000000010000000900000054FE18E72D146040AB796DBA8EF44A408DBFE598491460400B9390E5B0F54A4040E7EB9F7B146040FFC3E6FF94F54A407CECB288961460408144B0FDA6F64A401481C1A01215604027B0AD5D62F64A4060FC3C5FF61460406E7552C240F54A409F58D57CC3146040BF6929DB5CF54A4063E4134FA9146040B0176D024AF44A4054FE18E72D146040AB796DBA8EF44A40#0101000020E6100000BD7B0309A0146040BAA909FC78F54A40#Дальневосточный#Амурская обл.#Зейский#лесной#2015-01-15#t
343#2015-01-15 02:32:47#343#2015-01-15 04:20:04#2027317#0.0378923503075853#0106000020E6100000010000000103000000010000000900000054FE18E72D146040AB796DBA8EF44A408DBFE598491460400B9390E5B0F54A4040E7EB9F7B146040FFC3E6FF94F54A407CECB288961460408144B0FDA6F64A401481C1A01215604027B0AD5D62F64A4060FC3C5FF61460406E7552C240F54A409F58D57CC3146040BF6929DB5CF54A4063E4134FA9146040B0176D024AF44A4054FE18E72D146040AB796DBA8EF44A40#0101000020E6100000BD7B0309A0146040BAA909FC78F54A40#Дальневосточный#Амурская обл.#Зейский#лесной#2015-01-15#t
345#2015-01-15 04:09:13#345#2015-01-15 04:09:13#1022498#\N#0106000020E610000001000000010300000001000000050000009ECA50B2E89B5A404CA796293D144D4079E89A4D309C5A4030B6730E5C154D40D3C795DD409D5A403AC570960E154D40EC715B32F99C5A40F06799C1EF134D409ECA50B2E89B5A404CA796293D144D40#0101000020E61000008C2086C3949C5A40F504E5E5A5144D40#Сибирский#Иркутская обл.#Катангский#лесной#2015-01-15#t
346#2015-01-15 04:09:13#282#2015-01-15 04:09:13#1034230#\N#0106000020E61000000100000001030000000100000005000000DFBF7971A2715A407F71251237F04C405D5F56EEE6715A406809F0E557F14C40E9B6442EF8725A40E81405760CF14C40120C8C61B3725A401C0913CAEBEF4C40DFBF7971A2715A407F71251237F04C40#0101000020E6100000A68C583C4D725A406067CBD5A1F04C40#Сибирский#Иркутская обл.#Усть-Кутский#лесной#2015-01-15#t
351#2015-01-15 04:20:04#343#2015-01-15 04:20:04#2064226#0.00651867714745245#0106000020E6100000010000000103000000010000000900000041CBE3FEFD1360405AD870E443F54A4059972F65571460402955810672F54A40A639C31E441460402E9C5A6C49F64A4065A9F57EC3146040842371248AF64A4023A70AA1DE146040F1D7859B63F54A407A744FD2851460403E194A8836F54A40EFC0294199146040FF29B05B5FF44A40DD101DE11814604021A38F3B1DF44A4041CBE3FEFD1360405AD870E443F54A40#0101000020E610000094AB85506E14604057C91C8A53F54A40#Дальневосточный#Амурская обл.#Зейский#лесной#2015-01-15#t
353#2015-01-15 04:22:43#353#2015-01-15 04:22:43#1487765#\N#0106000020E61000000100000001030000000100000005000000C3ED75F765365E401FEBB14620EE4A4009BC38969C375E408DAE56169AEE4A404407D118F5375E403C8B5A715CED4A407C95BE08C1365E408C165E51E3EC4A40C3ED75F765365E401FEBB14620EE4A40#0101000020E6100000E60886162E375E40AE3ECABBBEED4A40#Сибирский#Забайкальский край#Могочинский#лесной#2015-01-15#t
354#2015-01-15 05:58:00#189#2015-01-15 05:58:00#1012524#0.0026#0106000020E61000000100000001030000000100000005000000E05D786F968359403C2D607E7EF34A40123A7D778A84594036314DA6C4F34A40089786C8C68459408EACA179A5F24A4076887FD8D28359409AC4AC595FF24A40E05D786F968359403C2D607E7EF34A40#0101000020E6100000B18191A12E84594082F1630012F34A40#Сибирский#Иркутская обл.#Зиминский#нелесной#2015-01-15#t
355#2015-01-15 05:58:00#355#2015-01-15 05:58:00#1051147#\N#0106000020E610000001000000010300000001000000050000007E25468520FD59401043064D26584A404208656D15FE59403C9F01F566584A4078DFA59249FE59409145FDA242574A40610DA36254FD59406A05FA0202574A407E25468520FD59401043064D26584A40#0101000020E610000012DFF9FCB4FD5940AC33C873B4574A40#Сибирский#Иркутская обл.#Иркутский#нелесной#2015-01-15#t
